emp_no,Employee,Title,Gender,Birthday,Department,Salary,from_date,to_date
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$41789,1998-02-15,1999-02-15
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$44948,1999-02-15,2000-02-15
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$47428,2000-02-15,2001-02-14
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$50000,2001-02-14,2002-02-14
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$53272,2002-02-14,9999-01-01
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$41789,1998-02-15,1999-02-15
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$44948,1999-02-15,2000-02-15
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$47428,2000-02-15,2001-02-14
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$50000,2001-02-14,2002-02-14
15427,"Aamodt, Aluzio",Engineer,M,1959-03-06,Development,$53272,2002-02-14,9999-01-01
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$42750,1993-02-06,1994-02-06
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$46206,1994-02-06,1995-02-06
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$46168,1995-02-06,1996-02-06
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$50589,1996-02-06,1997-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$54318,1997-02-05,1998-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$58809,1998-02-05,1999-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$61340,1999-02-05,2000-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$62177,2000-02-05,2001-02-04
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$65778,2001-02-04,2002-02-04
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$69633,2002-02-04,9999-01-01
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$42750,1993-02-06,1994-02-06
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$46206,1994-02-06,1995-02-06
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$46168,1995-02-06,1996-02-06
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$50589,1996-02-06,1997-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$54318,1997-02-05,1998-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$58809,1998-02-05,1999-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$61340,1999-02-05,2000-02-05
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$62177,2000-02-05,2001-02-04
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$65778,2001-02-04,2002-02-04
100860,"Aamodt, Amabile","Senior Staff",F,1964-06-20,Research,$69633,2002-02-04,9999-01-01
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$42750,1993-02-06,1994-02-06
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$46206,1994-02-06,1995-02-06
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$46168,1995-02-06,1996-02-06
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$50589,1996-02-06,1997-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$54318,1997-02-05,1998-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$58809,1998-02-05,1999-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$61340,1999-02-05,2000-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$62177,2000-02-05,2001-02-04
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$65778,2001-02-04,2002-02-04
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$69633,2002-02-04,9999-01-01
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$42750,1993-02-06,1994-02-06
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$46206,1994-02-06,1995-02-06
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$46168,1995-02-06,1996-02-06
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$50589,1996-02-06,1997-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$54318,1997-02-05,1998-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$58809,1998-02-05,1999-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$61340,1999-02-05,2000-02-05
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$62177,2000-02-05,2001-02-04
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$65778,2001-02-04,2002-02-04
100860,"Aamodt, Amabile",Staff,F,1964-06-20,Research,$69633,2002-02-04,9999-01-01
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$72617,1999-05-25,2000-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76443,2000-05-24,2001-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$76432,2001-05-24,2002-05-24
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$80229,2002-05-24,9999-01-01
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$58608,1992-05-26,1993-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$61044,1993-05-26,1994-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$64600,1994-05-26,1995-05-26
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$65969,1995-05-26,1996-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$69599,1996-05-25,1997-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$70011,1997-05-25,1998-05-25
107070,"Aamodt, Anestis",Engineer,M,1954-04-24,Production,$71486,1998-05-25,1999-05-25
